Country,Density_P_Km2,Agricultural_Land_percent,Land_AreaKm2,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change_percent,Fertility_Rate,Forested_Area_percent,Gasoline_Price,GDP,Gross_primary_education_enrollment_percent,Gross_tertiary_education_enrollment_percent,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,Population:_Labor_force_participation_percent,Tax_revenue_percent,Total_tax_rate,Unemployment_rate,Urban_population,Latitude,Longitude,Continent
103,-0.014037885134869421,1.1571903452708714,-0.3592216034615578,-0.3782308864424552,0.8936465867720081,-0.20971558439591642,-0.17569476948734447,-0.20287340139707882,1.0648633435455712,1.6330203115995703,1.195093772461245,-0.21958314025828818,-1.378787517376892,-0.4893475521285158,0.32457236747992163,-0.966459083389606,-0.39982145947796954,-0.00251546910118014,-1.1921231544428617,-0.8484390049565171,-0.27160750406220896,-0.007775698162022857,0.19502426053939673,1.272053025213325,-0.5440065551156501,-0.2934175674824106,-0.49688081389373373,2.2751036291747826,4
104,-0.1778564264760311,-0.03168411648532555,0.1797333351302648,-0.3377766637379597,1.3655448297127537,-0.2065569331803848,-0.1313045969604023,-0.17295204073721795,1.465546883143025,-1.3542920330537482,0.3238513876893895,-0.2161631689075694,-0.1989826149532921,-1.1351928048834592,1.568215124081547,-1.0336221344448353,2.699590701408341,-0.5529423529586139,0.8305231897995964,-0.985916837870639,-0.24066366010790222,-1.6841700296276445,-0.5925289062744162,1.327262319436193,0.5836067405281534,-0.2608358328984657,0.08428650873411228,-0.4685646619234467,0
105,0.13612911109452877,0.15085960008353927,-0.3582493581843313,-0.3879956988194024,-1.0131868712911347,-0.20459798539263213,-0.1447665424567035,-0.254167162528269,-1.0092632143706608,-0.5519852890611427,0.2957467946322334,-0.21310770924409841,-0.105840122656693,0.09433077790135301,-0.3875550201176894,0.26934105602661323,-0.4042240335701376,-0.609108361515495,0.9628953327474011,0.4127706796034701,-0.2632467388018482,-0.4431378081247367,0.39191255224285004,-0.9212616634587947,-0.010634117926403662,-0.2870868550437276,-1.6477836928071252,0.5632635529414647,0
106,-0.14701404677908397,0.721893790375886,0.6680394724161566,0.5410564501872865,-0.26382056275861965,0.3819389672289115,-0.11412810290249953,-0.11738379951176199,-0.44359233493896116,0.08388548144363499,-0.8003323345968753,0.3640130170857254,0.2589679721716571,0.08051590618466978,-0.52172394821579,0.3499367172928876,-0.5274961081508431,-0.5679199552404488,0.47047096098156693,0.3231112233551298,0.6009293139763088,-0.20293802331772168,-0.5168026402346265,0.7299981364797119,-0.6812184200018585,1.0869435994634098,0.19429333488106906,-1.848673749543838,3
55,0.21601593063744096,-0.3640072928030027,-0.3589491237469612,-0.3782308864424552,0.2647864819089111,-0.20971558439591642,-0.19168576932345957,-0.24989268243400314,0.27920934433487726,2.559087138442099,0.8297340627182092,-0.2194993376676173,-0.40855322262064225,-0.8209044733289145,0.23168618648892902,-0.6172112179024145,-0.28535453308160014,-0.16726909420136438,-1.5892395832862762,-0.9918941349538617,-0.27122633319116024,-0.007775698162022857,1.315772997928284,1.0010255808465183,-0.5440065551156501,-0.29368065080594236,-0.4845642556240482,1.9642630645064785,4
107,-0.11819411820980555,1.639292981337361,-0.3416124057831194,-0.3768359132457485,-1.0233134430280606,-0.20366596427125414,-0.049163019548529606,-0.06609003838057188,-1.1271113142522649,-0.8251109891437318,-0.6036001831967788,-0.2141398548864734,-0.9208369302519428,0.0667010344679863,-0.3875550201176894,-0.0799068094605802,-0.5891321454411959,-0.635319165508706,0.7246254754413525,0.819226881262613,-0.253604371001337,-1.9644031119024945,0.17987900733143858,-0.09312225011577455,-0.25823447561580243,-0.2787504064343961,1.1901189848092808,0.12364063995153748,2
108,13.135939346966774,0.1836238569035921,-0.35931521933279154,-0.31964201218077215,-1.4486294559789474,-0.1582025580045596,-0.1834795148770842,-0.198598921302813,-0.9071281944732705,0.05401235799710199,2.768950983662016,-0.21635285481743544,-0.10972105983571778,1.0354689136004014,-0.9551927928404228,1.155893329955639,-0.6463656086393805,3.637041885384709,-1.3986236974414372,2.8216214041422134,-0.2717448527620541,-0.37808369973950307,0.6190913503622191,-0.10817933035837476,-0.3067228789966429,-0.2935057059801413,1.0362787138690952,-0.19189414214959954,2
109,-0.1793732648217826,1.5129165621743004,0.4587065394320735,-0.3461465029182002,0.3974445716626399,-0.17902337449153075,0.02871077866490718,0.0407719639760742,0.1613612444532732,-1.0214200860780929,-0.8284369276540319,-0.21325967492691186,0.11925423372675739,0.9577602601940579,-0.36691364656413544,-0.3619916238925424,-0.47466521904482645,-0.5080095461131091,0.3592783609054108,0.6100214833498189,-0.24967288829476775,-0.303021266987311,0.043571728459817355,-0.7455957272951238,-0.14681431465557299,-0.26428325922306384,1.1671203000111858,1.2606776607591963,1
110,-0.15662068963551012,-0.94440269932965,-0.35209267641805336,-0.36288618127868105,-0.8582503237161687,-0.20743541784048256,-0.18056846795469422,-0.16012860045442043,-0.7421408546390248,1.2617400630498006,0.4081651668608594,-0.21713686818465447,-0.19122074059524255,0.6296570569228302,-0.9706738230055884,0.5917237010917127,-0.6463656086393805,-0.2908343130265026,-0.037838067938003504,0.5502485125175919,-0.2677050054157674,-0.833462458436135,0.6190913503622191,-0.9212616634587947,1.6833649959318995,-0.28840846154061633,0.9931515111147334,-0.011874044897529443,2
111,-0.13841862948649217,1.372498318659789,-0.12577343124513746,0.2899612747800733,-0.1281245014838129,-0.13533275513586454,-0.19439923387555158,-0.26271612271680067,-0.2157526751678599,-0.8251109891437318,-0.069612915110803,-0.16461105549184307,0.8876797951737077,-0.06799396476967567,-0.0985757903679342,0.5514258704585755,-0.3646008667406251,-0.15229149191952943,1.0899725899772938,-0.6631427953766138,-0.016322157860273134,-1.7442199758293984,0.8159796420656719,0.2632286489591004,0.4742499158820021,0.015127889216545617,0.5359304453069303,-0.41059234989876636,0
